,teamIDfg,Season,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM
0,2,1936,Browns,P,1164,155,1348.1,2889,1707,151,,,359,,,,,,,9,,0.968,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1936,Red Sox,C,1114,155,1372.1,3075,1621,136,,,351,,,,,,,7,,0.972,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1936,White Sox,P,1064,153,1365.0,3092,1924,132,,,453,,,,,,,11,,0.974,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,1936,Indians,P,1123,157,1389.1,3180,1767,151,,,391,,,,,,,14,,0.97,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,1936,Tigers,C,1084,154,1360.0,3050,1742,115,,,423,,,,,,,16,,0.977,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,1936,Senators,2B,1069,153,1345.2,3014,1732,137,,,421,,,,,,,7,,0.972,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,1936,Yankees,3B,1089,155,1400.1,3087,1646,130,,,377,,,,,,,7,,0.973,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10,1936,Athletics,P,1096,154,1352.1,2949,1734,167,,,393,,,,,,,21,,0.966,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,1936,Bees,2B,1106,157,1413.1,3123,1958,158,,,460,,,,,,,5,,0.97,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17,1936,Cubs,2B,1103,154,1382.1,3117,1729,116,,,405,,,,,,,11,,0.977,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,1936,Reds,SS,1186,154,1367.1,3038,1832,160,,,391,,,,,,,12,,0.968,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,1936,Dodgers,P,1226,156,1403.0,3127,1668,187,,,276,,,,,,,13,,0.962,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26,1936,Phillies,2B,1184,154,1365.1,3058,1769,202,,,364,,,,,,,6,,0.96,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,27,1936,Pirates,P,1096,156,1395.1,3078,1644,164,,,282,,,,,,,4,,0.966,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28,1936,Cardinals,P,1193,155,1398.0,3027,1621,130,,,332,,,,,,,9,,0.973,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30,1936,Giants,2B,1130,154,1385.2,3218,2006,147,,,425,,,,,,,5,,0.973,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
